Any,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,Seccio_Censal,Import_Renda_Bruta_€
2020,1,Ciutat Vella,1,el Raval,1,12798
2020,1,Ciutat Vella,1,el Raval,2,9727
2020,1,Ciutat Vella,1,el Raval,3,9932
2020,1,Ciutat Vella,1,el Raval,4,12318
2020,1,Ciutat Vella,1,el Raval,5,10575
