Any,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,Seccio_Censal,Import_Euros
2019,1,Ciutat Vella,1,el Raval,1,14250.55
2019,1,Ciutat Vella,1,el Raval,2,11281.67
2019,1,Ciutat Vella,1,el Raval,3,11368.79
2019,1,Ciutat Vella,1,el Raval,4,14076.12
2019,1,Ciutat Vella,1,el Raval,5,11862.42
