Any,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,Seccio_Censal,Import_Euros
2021,1,Ciutat Vella,1,el Raval,1,13828.66
2021,1,Ciutat Vella,1,el Raval,2,11247.3
2021,1,Ciutat Vella,1,el Raval,3,11638.83
2021,1,Ciutat Vella,1,el Raval,4,13688.8
2021,1,Ciutat Vella,1,el Raval,5,12037.71
