Any,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,Seccio_Censal,Import_Euros
2020,1,Ciutat Vella,1,el Raval,1,12894.11
2020,1,Ciutat Vella,1,el Raval,2,9839.18
2020,1,Ciutat Vella,1,el Raval,3,10020.04
2020,1,Ciutat Vella,1,el Raval,4,12559.46
2020,1,Ciutat Vella,1,el Raval,5,10790.31
