Data_Referencia,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,AEB,Seccio_Censal,Valor
2020-01-01,1,Ciutat Vella,1,el Raval,1,1001,1289
2020-01-01,1,Ciutat Vella,1,el Raval,1,1002,1469
2020-01-01,1,Ciutat Vella,1,el Raval,2,1003,3699
2020-01-01,1,Ciutat Vella,1,el Raval,2,1004,2935
2020-01-01,1,Ciutat Vella,1,el Raval,3,1005,2389
