Data_Referencia,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,AEB,Seccio_Censal,Valor
2022-01-01,1,Ciutat Vella,1,el Raval,1,1001,1302
2022-01-01,1,Ciutat Vella,1,el Raval,1,1002,1400
2022-01-01,1,Ciutat Vella,1,el Raval,2,1003,3467
2022-01-01,1,Ciutat Vella,1,el Raval,2,1004,2945
2022-01-01,1,Ciutat Vella,1,el Raval,3,1005,2338
