"Any","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Superfície (ha)"
"2021","1","Ciutat Vella",1,"el Raval","110.0"
"2021","1","Ciutat Vella",2,"el Barri Gòtic","81.6"
"2021","1","Ciutat Vella",3,"la Barceloneta","117.9"
"2021","1","Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","111.0"
"2021","2","Eixample",5,"el Fort Pienc","92.9"
